dates,satname,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0021,nzd0181-0022,nzd0181-0023,nzd0181-0014,nzd0181-0018,nzd0181-0019,nzd0181-0020
2006-12-13 21:54:31.554000,L5,256.19,295.09,319.62,298.63,,287.44,297.15,293.42,294.13,307.38,308.81,316.58,322.44,313.94,,,,298.51,234.87,,302.65,313.76,313.70,325.70
2007-01-05 22:00:28.480000,L5,415.31,326.27,342.34,327.77,315.01,313.27,314.84,327.56,324.96,339.90,338.65,342.64,349.31,338.57,299.55,300.18,308.27,328.51,262.06,273.82,325.98,336.88,331.45,344.73
2007-09-18 21:58:42.182000,L5,169.38,,,,,,,,,,,,,,,,,280.68,,,,300.94,302.45,315.22
2008-12-25 21:50:10.387000,L5,167.94,,,,,,,,,,,,,,,,,277.80,,,,299.48,301.09,314.08
2008-12-25 21:50:34.359000,L5,168.64,,,,,,,,,,,,,,,,,278.19,,,,299.83,302.26,315.36
2009-11-26 21:56:28.873000,L5,194.31,,,,,,,,,,,,,,,,,288.46,,,,306.95,306.96,319.71
2009-12-12 21:56:13.982000,L5,,294.86,324.15,300.16,278.15,286.14,283.85,,,,,,,,,,,,,,,,,
2009-12-12 21:56:37.955000,L5,373.60,304.17,331.93,310.32,288.07,295.28,290.90,,,,,,,,,,,304.14,231.98,,,319.69,317.89,333.16
2010-01-13 21:56:25.416000,L5,400.72,327.70,347.67,337.61,323.85,323.41,315.62,324.62,316.06,335.06,337.61,340.54,340.86,329.80,299.70,305.75,311.34,328.70,258.73,265.70,328.13,344.05,340.27,352.24
2010-01-13 21:56:49.389000,L5,398.11,329.51,348.57,337.87,324.38,325.85,317.35,325.41,319.07,335.47,339.35,341.47,342.90,331.81,301.56,307.17,313.66,329.44,260.10,266.80,328.69,345.45,341.65,353.21
2010-10-28 21:55:27.339000,L5,404.37,336.30,354.45,348.29,334.87,330.12,322.46,324.97,328.60,333.94,337.23,345.72,342.59,334.71,302.15,313.39,315.29,328.20,259.62,277.99,322.76,340.58,337.82,347.86
2010-10-28 21:55:51.312000,L5,166.06,,,,,,,,,,,,,,,,,288.43,,,,310.29,306.89,322.15
2010-12-31 21:55:32.560000,L5,414.40,333.14,348.36,343.85,331.50,329.04,318.74,322.14,327.21,337.39,333.99,342.21,340.72,332.60,299.32,305.99,318.07,332.89,261.65,270.89,324.06,343.21,338.39,353.40
2010-12-31 21:55:56.533000,L5,190.59,288.32,314.60,291.69,,,,,,,,,,,,,,292.42,233.97,,,314.65,313.60,328.68
2011-01-16 21:55:58.174000,L5,399.85,325.05,345.06,331.79,311.43,314.30,315.73,323.44,319.69,336.63,337.12,344.44,346.41,328.16,297.38,299.99,306.01,329.69,261.56,269.52,319.80,337.09,332.76,347.47
2011-02-01 21:55:35.620000,L5,407.48,336.64,351.94,339.80,317.59,317.08,308.64,314.28,320.78,331.09,336.53,345.06,348.06,341.47,301.59,313.96,318.19,323.15,254.60,266.68,334.33,336.06,333.80,345.48
2011-02-17 21:55:37.006000,L5,425.86,399.39,396.18,385.95,386.63,378.70,377.62,378.17,372.99,373.59,363.17,366.39,370.47,370.73,361.58,361.45,364.63,366.70,368.81,335.97,368.41,364.20,358.78,366.30
2011-02-17 21:56:00.979000,L5,426.92,393.40,393.04,382.55,382.54,377.03,373.48,373.69,369.27,370.78,360.17,364.34,368.45,367.15,358.79,359.31,360.85,364.72,362.94,331.70,363.56,361.52,356.74,363.57
2013-04-11 22:07:51.092000,L8,218.68,303.76,320.00,,,,,,,,,,,,290.34,279.95,308.00,287.24,,,,331.29,329.52,341.16
2013-04-11 22:08:15.067000,L8,391.08,388.40,338.96,323.34,313.21,315.96,313.16,310.34,324.79,328.29,334.87,339.57,342.53,333.86,310.69,305.21,323.48,311.26,284.95,315.71,306.46,343.51,339.87,352.05
2013-05-13 22:07:59.284000,L8,374.29,343.45,355.03,339.89,341.70,349.75,344.01,340.42,346.93,340.31,356.05,353.42,361.77,361.25,361.35,340.28,350.47,317.15,275.78,313.46,365.18,354.04,347.90,358.52
2013-05-29 22:07:41.466000,L8,180.44,,,,,,,,,,,,,,296.28,282.58,310.56,289.60,,,,334.06,329.97,341.30
2013-05-29 22:08:05.425000,L8,,,,,,,,,,,,,,,294.26,280.91,308.87,283.53,,,,332.19,328.62,338.06
2013-06-30 22:07:36.163000,L8,150.21,312.44,322.96,276.43,,,,,,,,,,,298.05,283.18,310.22,291.99,,,,335.30,331.17,346.10
2013-06-30 22:08:00.117000,L8,,,,,,,,,,,,,,,294.94,280.32,307.51,282.56,,,,331.71,328.38,339.83
2013-07-16 22:07:36.609000,L8,,,,,,,,,,,,,,,294.22,281.10,309.00,285.26,,,,333.68,330.40,344.63
2013-08-17 22:08:03.120000,L8,,,,,,,,,,,,,,,,,304.73,283.80,,,,327.17,322.30,335.45
2013-09-02 22:07:40.639000,L8,,,,,,,,,,,,,,,,,297.29,276.37,,,,322.15,319.77,331.91
2013-09-02 22:08:04.598000,L8,381.52,328.58,336.08,320.75,311.17,312.41,311.55,308.43,321.51,325.24,334.17,337.89,341.65,333.21,310.52,301.73,321.14,310.91,273.53,286.57,315.34,343.10,344.62,357.83
2013-10-20 22:07:26.886000,L8,409.05,331.14,339.00,326.34,315.79,312.56,313.95,312.30,325.29,327.41,334.30,337.47,340.50,331.72,311.68,305.75,319.04,315.43,268.85,285.71,301.71,341.71,337.08,351.66
2013-11-05 22:07:22.900000,L8,195.08,309.22,305.04,284.77,,,,,307.62,304.45,318.57,324.02,327.44,319.26,296.79,286.39,308.14,,,,293.17,333.15,331.76,
2013-11-05 22:07:46.855000,L8,341.11,322.12,337.07,317.47,307.33,310.73,310.68,307.80,320.29,320.69,329.79,335.16,339.78,330.08,308.24,299.00,316.02,,,,310.25,345.93,343.96,349.54
2013-11-21 22:07:13.797000,L8,145.94,297.22,319.74,274.38,,,,,,,,,,,288.47,279.79,305.03,286.58,,,,328.58,324.85,332.92
2013-11-21 22:07:37.752000,L8,,,,,,,,,,,,,,,,,297.13,284.03,,,,325.63,319.99,332.01
2013-12-07 22:07:14.870000,L8,145.38,297.95,321.45,283.78,,,,,,,,,,,291.46,279.30,304.38,288.93,,,,331.21,328.48,344.02
2014-01-24 22:06:45.554000,L8,143.64,292.28,309.26,,,,,,,,,,,,,,307.32,285.67,,,,329.78,327.61,336.91
2014-01-24 22:07:09.509000,L8,418.09,326.11,336.95,320.25,310.50,305.10,309.61,307.13,322.53,323.31,329.93,337.59,344.45,330.57,310.49,299.50,319.89,311.12,275.81,285.24,309.37,344.84,340.41,352.62
2014-02-09 22:06:33.299000,L8,198.42,296.96,313.71,,,,,,,,,,,,292.55,280.26,306.96,290.85,,,,331.30,328.48,339.05
2014-02-09 22:06:57.254000,L8,435.94,325.27,335.24,320.00,309.59,308.62,311.32,307.20,321.58,323.96,332.19,336.61,338.90,331.64,310.23,300.50,321.46,311.13,275.68,285.28,315.87,344.23,338.93,353.09
2014-02-25 22:06:20.497000,L8,,,,,,,,,,,,,,,,,300.21,279.65,,,,327.16,320.26,325.81
2014-02-25 22:06:44.447000,L8,142.24,289.43,306.32,,,,,,,,,,,,,,301.76,283.89,,,,328.39,321.85,328.74
