dates,satname,nzd0278-0000,nzd0278-0001,nzd0278-0002,nzd0278-0003,nzd0278-0004,nzd0278-0005,nzd0278-0006,nzd0278-0007,nzd0278-0008,nzd0278-0009,nzd0278-0010,nzd0278-0011,nzd0278-0012,nzd0278-0013,nzd0278-0014,nzd0278-0015,nzd0278-0016,nzd0278-0017,nzd0278-0018,nzd0278-0019,nzd0278-0020,nzd0278-0021,nzd0278-0022,nzd0278-0023,nzd0278-0024,nzd0278-0025,nzd0278-0026,nzd0278-0027,nzd0278-0028,nzd0278-0029,nzd0278-0030,nzd0278-0031,nzd0278-0039,nzd0278-0040,nzd0278-0041,nzd0278-0042,nzd0278-0043,nzd0278-0044,nzd0278-0045,nzd0278-0046,nzd0278-0047,nzd0278-0037,nzd0278-0038,nzd0278-0050,nzd0278-0051,nzd0278-0052,nzd0278-0053,nzd0278-0058,nzd0278-0059,nzd0278-0060,nzd0278-0061,nzd0278-0032,nzd0278-0033,nzd0278-0034,nzd0278-0035,nzd0278-0048
2015-04-24 22:11:56.306000,L8,290.38,277.55,258.35,250.16,233.28,221.70,218.94,216.44,218.36,214.24,218.85,221.11,226.68,234.48,238.14,242.86,241.10,243.53,237.81,236.43,241.89,241.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11 22:11:52.469000,L8,295.76,279.33,263.94,254.66,238.89,219.91,215.94,212.84,212.09,208.59,216.83,223.58,223.80,233.24,234.17,238.27,237.01,237.07,236.08,230.78,238.28,241.61,317.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14 22:12:19.348000,L8,,,,234.51,219.31,211.68,206.58,216.26,194.63,206.01,200.29,212.44,207.07,212.61,220.34,208.08,207.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01 22:12:37.882000,L8,,,,,,,,,,,,,,,,,,,303.43,305.99,323.25,309.66,313.15,253.78,211.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-11 22:06:32.057000,L8,,,,,,162.61,179.54,181.04,178.19,174.76,185.02,190.70,193.11,195.52,196.22,212.52,216.18,217.26,206.75,211.49,233.75,236.84,192.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-20 22:12:45.414000,L8,297.79,278.74,257.55,249.42,234.77,222.35,220.13,221.52,211.27,214.65,217.37,216.09,224.95,228.81,237.23,239.05,237.23,242.34,234.40,231.51,233.35,238.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05 22:12:41.193000,L8,,,,219.38,204.63,196.48,183.60,152.77,,,,167.92,206.70,210.73,219.43,219.86,214.15,217.20,215.27,207.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-06 22:12:37.834000,L8,,,,,,,,,,,,,,,,296.42,286.67,277.35,279.43,287.66,285.89,289.52,,,152.37,179.23,180.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-10 22:12:13.580000,L8,,,,,,,,,,,,,,,310.33,297.22,290.12,283.70,284.67,286.66,289.11,296.87,267.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-26 22:12:09.135000,L8,,,,215.84,210.89,208.42,197.50,177.47,204.43,179.85,205.97,195.21,209.14,223.65,225.73,229.79,226.85,227.03,225.10,220.18,222.39,223.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
