dates,satname,nzd0578-0000
2025-06-30 22:13:07.586000,L9,81.24
2025-07-17 22:07:04.709000,L8,115.63
2025-07-24 22:12:53.821000,L8,107.58
2025-07-24 22:13:17.780000,L8,113.57
2025-07-25 22:07:06.294000,L9,117.44
2025-08-01 22:12:54.806000,L9,107.77
2025-08-02 22:07:09.825000,L8,229.27
2025-08-09 22:13:01.398000,L8,208.79
2025-08-09 22:13:25.366000,L8,196.73
2025-08-10 22:07:16.143000,L9,111.73
2025-08-25 22:13:03.791000,L8,192.58
2025-08-25 22:13:27.754000,L8,111.11
2025-08-26 22:07:21.236000,L9,115.11
2025-09-10 22:13:08.201000,L8,117.70
2025-09-10 22:13:32.164000,L8,118.35
2025-09-18 22:13:37.653000,L9,113.87
2025-09-19 22:07:27.204000,L8,116.32
2025-09-26 22:13:14.966000,L8,228.06
2025-09-26 22:13:38.933000,L8,225.93
2025-10-04 22:13:17.983000,L9,186.78
