dates,satname,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
2024-05-19 22:06:42.049000,L9,352.77,359.54,357.70,352.92,338.07,328.63,327.85,,,,314.44,322.84,326.37,331.33,318.24,326.30,302.79,360.64,350.21
2024-06-20 22:06:18.840000,L9,,431.18,370.02,359.94,396.18,355.47,383.91,342.13,341.44,430.08,,,,,,,329.22,317.95,358.82
2024-06-28 22:06:31.354000,L8,356.52,365.04,357.23,354.78,338.31,335.46,330.47,,,,,,,,,,297.72,352.20,343.93
2024-07-06 22:06:32.918000,L9,347.70,353.98,349.88,344.97,334.29,327.59,323.70,,,,,,,,,,,,
2024-08-23 22:06:59.383000,L9,354.44,358.80,353.17,344.72,333.18,328.50,325.03,,,,313.35,321.79,325.92,327.28,316.08,322.71,294.15,356.99,346.80
2024-08-31 22:07:03.291000,L8,351.29,356.22,350.11,342.14,332.38,328.21,323.13,,,,,,,,,,,,
2024-09-24 22:07:01.359000,L9,354.36,359.54,351.95,342.95,333.84,330.31,325.33,,,,315.33,323.14,327.44,329.72,316.91,324.92,298.28,359.23,348.83
2024-10-10 22:07:10.262000,L9,349.97,349.98,343.09,336.43,328.53,322.94,,,,,,,,,,,,,
2024-10-18 22:07:18.673000,L8,358.15,362.53,356.41,348.12,340.81,339.39,331.99,,325.80,324.76,322.40,331.71,335.28,336.33,321.35,334.32,347.01,364.14,356.33
2024-11-11 22:07:15.564000,L9,357.26,360.53,356.15,351.36,344.50,343.51,337.85,321.10,330.90,327.12,321.12,335.86,339.52,339.45,327.13,341.46,351.15,365.49,358.29
2024-12-05 22:07:21.239000,L8,345.45,339.26,338.77,328.01,326.01,320.57,,,,,,,,,,,,,
2024-12-13 22:07:21.847000,L9,351.71,347.37,347.28,337.92,331.56,329.36,321.52,,,,316.30,327.83,333.56,332.23,320.53,327.72,300.38,360.17,353.50
2025-01-06 22:07:18.443000,L8,354.29,350.65,352.62,342.92,337.23,333.03,330.77,,,321.07,323.31,329.71,333.63,333.51,322.70,335.13,348.61,365.54,355.35
2025-01-22 22:07:13.469000,L8,351.10,346.24,348.43,338.48,330.77,327.49,323.29,,,,315.60,325.81,330.58,331.39,319.26,329.06,304.44,364.75,352.19
