dates,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013,satname
2006-08-23 21:53:23+00:00,340.216,337.648,333.68600000000004,299.86800000000005,313.544,325.008,326.53,324.158,332.16200000000003,322.102,276.24399999999997,179.43,,,L5
2006-10-10 21:53:56+00:00,340.885,338.98749999999995,331.90999999999997,297.89,312.78749999999997,327.64250000000004,326.71000000000004,324.35249999999996,333.0225,322.86749999999995,280.2125,179.43,,,L5
2006-12-13 21:54:55+00:00,340.885,338.98749999999995,331.90999999999997,297.89,321.796,332.05,328.762,323.43,328.44,322.86749999999995,280.2125,179.43,,322.49,L5
2007-01-30 21:54:48+00:00,342.66333333333336,339.2,336.40000000000003,305.32666666666665,329.66249999999997,333.5575,333.19500000000005,324.6925,328.24,325.1133333333333,280.1766666666667,,,322.49,L5
2007-02-15 21:54:49+00:00,343.675,339.9525,337.5475,306.1375,328.418,332.076,332.62600000000003,324.822,329.36199999999997,324.95,275.02750000000003,,,322.49,L5
2008-02-25 21:56:25+00:00,336.53,336.12,335.9,304.6,317.87,320.69,319.88,309.73,318.29,318.97,260.42,,,,L5
2009-11-26 21:56:28+00:00,337.24,338.61,333.8,306.44,317.55,320.27,323.72,317.86,320.21,,,,,,L5
2010-01-13 21:56:49+00:00,339.645,338.405,334.96000000000004,304.805,316.975,321.085,321.69500000000005,316.255,319.92499999999995,318.64,254.51,,,,L5
2010-10-28 21:55:51+00:00,348.66,338.05,339.72,307.38,321.41,326.48,329.98,325.49,332.44,324.26,269.64,,,,L5
2011-01-09 21:49:46+00:00,346.47,337.03,338.285,305.53999999999996,318.37,323.14,327.065,323.435,329.03499999999997,322.03,267.015,,,,L5
2011-01-16 21:55:58+00:00,348.34666666666664,339.4433333333333,340.0733333333333,307.04333333333335,318.8433333333333,320.78333333333336,324.5566666666667,320.66,326.1666666666667,321.56,265.49,,,,L5
2011-01-25 21:49:47+00:00,348.78,339.3825,340.3825,307.635,319.6725,322.1825,325.99,321.8825,327.36,321.58,269.7075,,,,L5
2011-02-17 21:56:00+00:00,348.11800000000005,338.642,341.206,308.38800000000003,320.346,322.854,327.03000000000003,323.36,328.422,322.508,268.782,,,,L5
2011-10-24 21:47:48+00:00,342.33,338.32,341.48,305.52,317.13,325.36,328.17,326.14,325.28,321.07,278.58,,,,L5
2013-05-29 22:08:05+00:00,347.12,337.79,342.26,303.33,324.24,329.17,334.48,331.97,334.46,325.32,276.12,,,,L8
2013-06-23 22:01:46+00:00,350.615,340.145,344.91999999999996,307.16999999999996,325.265,331.88,336.46500000000003,335.365,340.975,330.37,284.8,189.24,,,L8
2013-06-30 22:08:00+00:00,352.0366666666667,341.56333333333333,347.36999999999995,307.6566666666667,326.54333333333335,334.59666666666664,337.4666666666667,336.81333333333333,341.8033333333333,331.09,282.59666666666664,189.24,,,L8
2013-08-17 22:08:03+00:00,352.0366666666667,341.56333333333333,348.18,309.715,333.48,335.9875,337.96750000000003,336.87,344.085,331.09,280.4,189.24,,,L8
2013-09-02 22:08:04+00:00,352.0366666666667,341.56333333333333,348.494,310.524,332.796,335.396,337.87,336.37399999999997,341.544,331.09,277.96999999999997,189.24,,,L8
2013-11-14 22:01:33+00:00,352.5475,342.835,348.8833333333334,312.1383333333333,336.27333333333337,335.46,337.6116666666667,336.2033333333333,340.2133333333333,330.1175,274.74,189.0,,,L8
2013-11-21 22:07:37+00:00,350.852,342.05,347.79714285714283,311.53142857142853,333.9571428571429,333.8671428571428,336.8071428571429,335.11285714285714,338.21,328.244,272.67571428571426,189.0,,,L8
2013-12-16 22:01:21+00:00,351.3059999999999,342.67400000000004,348.10428571428565,312.7142857142857,333.9157142857143,333.5671428571428,336.5228571428571,334.5785714285715,337.27714285714285,327.71999999999997,268.49142857142857,189.0,,,L8
2014-01-01 22:01:14+00:00,348.685,341.6675,346.9666666666667,312.92833333333334,333.635,331.0133333333333,334.93833333333333,331.9216666666667,333.15500000000003,323.63,261.56333333333333,188.76,,,L8
2014-01-17 22:00:59+00:00,346.946,340.906,345.8528571428572,311.8357142857143,331.7728571428571,328.88571428571424,334.25857142857143,331.0728571428572,331.9714285714286,322.424,259.97,188.76,,,L8
2014-01-24 22:07:09+00:00,348.6933333333333,341.75666666666666,346.355,312.21,331.12875,329.63875,334.87,331.66125,331.95625,323.3383333333333,259.90375,188.76,,,L8
