dates,satname,nzd0291-0000,nzd0291-0001,nzd0291-0009,nzd0291-0010,nzd0291-0011,nzd0291-0012,nzd0291-0013,nzd0291-0014,nzd0291-0007,nzd0291-0008,nzd0291-0002,nzd0291-0003,nzd0291-0004,nzd0291-0005,nzd0291-0006
2016-03-20 21:53:51.169000,L8,315.18,324.05,331.53,327.32,322.14,322.95,321.83,335.30,333.68,332.26,291.37,293.47,290.75,306.15,327.65
2016-03-20 21:54:15.119000,L8,,,331.72,327.45,321.68,322.71,322.87,334.73,,332.00,,,,,
2016-04-05 21:54:06.527000,L8,,,332.47,331.58,326.01,322.42,327.31,343.54,329.61,336.50,,,,,
2016-04-21 21:53:36.277000,L8,316.12,324.94,332.72,330.61,325.95,326.57,325.00,343.75,334.73,334.68,287.70,300.88,291.56,304.08,332.69
2016-04-21 21:54:00.236000,L8,,,321.15,320.28,312.46,315.55,312.89,329.84,,,,,,,
2016-04-28 21:59:49.549000,L8,314.96,324.39,332.50,329.90,326.15,326.27,324.04,339.83,332.74,336.51,286.10,302.38,294.54,308.82,332.19
2016-05-14 21:59:48.138000,L8,,,334.05,329.05,325.79,324.09,323.68,344.16,337.97,336.93,,302.45,293.32,308.81,331.56
2016-06-08 21:53:45.728000,L8,330.88,341.86,366.77,357.40,347.57,356.87,346.65,351.99,369.38,358.32,344.97,348.72,354.82,357.47,376.66
2016-06-15 21:59:57.053000,L8,,,335.15,330.89,328.21,324.93,325.70,343.72,336.48,340.72,,275.86,293.65,311.11,335.87
2016-07-26 21:54:04.677000,L8,,,331.52,325.62,324.59,322.72,321.31,337.00,332.09,331.21,,,,,
2016-08-11 21:54:30.396000,L8,,,,,,,309.57,321.13,,,,,,,
2016-08-27 21:54:14.090000,L8,299.21,308.87,318.18,316.67,311.01,312.68,310.98,327.02,317.40,314.15,280.89,,,,
2016-09-12 21:54:18.117000,L8,307.30,319.53,324.32,320.61,315.28,317.86,313.57,329.96,321.53,321.13,284.63,281.77,285.50,298.10,320.54
2016-09-12 21:54:42.081000,L8,,,,,,,319.45,334.95,,,,,,,
2016-09-19 22:00:29.430000,L8,317.65,327.58,329.23,324.76,322.66,322.68,320.83,334.79,330.01,334.03,290.30,287.25,291.21,305.58,326.59
2016-10-14 21:54:24.092000,L8,329.12,320.06,,,303.99,308.89,306.27,323.99,,,289.11,283.98,286.70,298.30,321.53
2016-11-22 22:00:35.730000,L8,314.67,325.27,331.72,327.03,322.25,320.41,320.62,340.52,331.28,330.59,297.06,297.57,294.58,307.55,328.81
2016-12-17 21:54:19.694000,L8,319.27,328.35,330.02,328.59,323.18,323.39,320.76,336.95,335.07,333.28,297.05,304.69,293.76,307.39,328.86
2016-12-17 21:54:43.657000,L8,,,,,337.52,333.01,335.56,345.84,,,,,,,
2017-01-09 22:00:26.241000,L8,300.47,316.07,320.32,320.03,315.27,315.79,313.12,332.06,319.26,321.96,287.52,281.59,287.11,297.94,321.62
2017-01-25 22:00:20.789000,L8,313.33,323.19,327.52,325.49,322.08,319.72,316.67,334.91,326.97,333.17,294.97,289.52,292.52,304.59,326.64
2017-02-03 21:54:05.431000,L8,351.02,362.06,381.27,374.12,371.91,369.48,369.65,381.45,394.12,362.25,364.11,362.31,360.14,379.22,369.21
2017-02-03 21:54:29.385000,L8,,,327.84,329.30,323.29,322.68,318.58,337.97,328.99,335.81,,,,,
2017-03-30 21:59:50.258000,L8,314.06,324.85,333.56,328.98,325.52,322.54,326.77,340.61,335.93,334.63,291.94,308.12,297.12,312.92,332.50
2017-04-08 21:53:59.259000,L8,,,309.44,312.45,303.77,305.86,308.04,320.54,,,,,,,
2017-05-01 21:59:31.775000,L8,,,312.22,313.93,307.03,306.00,308.52,324.99,,,,,,,
