dates,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
2018-06-28 22:06:16+00:00,,,,,339.48,,,,343.21,,390.5925,389.9125,384.78499999999997,388.4275,372.6925,379.545,319.88,365.54499999999996,358.3500000000001,335.80499999999995,338.42,308.97999999999996,273.925,266.2825,245.61999999999998
2018-08-31 22:06:47+00:00,,,322.98,196.89,339.48,181.86,,297.46,339.03999999999996,,390.5925,384.54200000000003,382.01,383.304,367.93,374.384,318.0,365.54499999999996,346.51,325.84666666666664,335.85999999999996,315.12,273.055,256.75,237.57
2018-10-02 22:06:59+00:00,,,322.98,196.89,339.48,181.86,,297.46,339.03999999999996,,389.9275,383.942,380.93999999999994,382.87,366.546,375.178,331.7266666666667,365.875,350.49666666666667,324.8066666666667,337.0833333333333,321.39,274.0725,257.9,239.3075
2018-10-18 22:07:05+00:00,411.23,,322.98,196.89,339.48,181.86,,297.46,339.03999999999996,,391.11,385.6433333333334,382.07666666666665,384.5683333333333,368.4183333333333,377.08,331.7266666666667,363.56,354.865,326.66999999999996,339.28249999999997,321.8533333333333,276.2,261.946,243.026
2019-01-22 22:07:02+00:00,411.23,,322.98,196.89,,181.86,,297.46,334.87,,393.31333333333333,384.34,382.63750000000005,384.56,369.2,377.025,337.65000000000003,357.83000000000004,349.755,320.71500000000003,334.4675,314.56,278.42249999999996,266.06,243.3666666666667
2019-02-07 22:06:59+00:00,411.23,,322.98,196.89,,181.86,,297.46,334.87,,392.46,385.78000000000003,383.478,386.1,370.306,378.04200000000003,337.65000000000003,357.83000000000004,348.746,321.344,334.454,311.37,278.47999999999996,268.898,245.4325
2019-04-12 22:06:42+00:00,411.23,,377.86,,,,,,,,386.72749999999996,387.62,384.23499999999996,387.82,371.22999999999996,377.92,334.02,342.055,345.81,321.7975,332.74,303.2925,278.7725,274.825,252.09666666666666
2019-05-14 22:06:48+00:00,,,377.86,,,,,,,,386.255,388.295,383.825,387.465,373.3425,377.2825,334.02,325.18,340.8275,317.9975,331.4125,300.93500000000006,278.13,275.93,249.195
2019-05-30 22:06:57+00:00,,,377.86,,,,,,,,388.066,391.652,386.97799999999995,388.21999999999997,376.02599999999995,379.956,343.41499999999996,334.315,342.158,318.33000000000004,334.038,302.86600000000004,280.164,277.304,253.20666666666668
2019-08-02 22:07:17+00:00,375.78,,360.38,339.79,,,,,,,387.91249999999997,393.5525,387.9625,388.41749999999996,376.89,380.92,334.9433333333333,328.48,337.194,316.146,330.452,304.4925,278.688,273.25,245.7425
2019-08-18 22:07:23+00:00,362.455,339.03,346.00666666666666,322.59000000000003,343.07,,,,339.58,,387.25,394.22333333333336,388.33666666666664,387.1366666666666,377.60999999999996,380.5233333333333,325.7525,324.825,329.342,311.418,324.86,305.39000000000004,272.11800000000005,260.652,235.125
2019-10-05 22:07:36+00:00,362.455,339.03,346.00666666666666,322.59000000000003,343.07,,,,339.58,,388.7275,394.26750000000004,388.2725,387.6975,378.1125,381.78999999999996,330.25,331.664,333.42,314.23499999999996,327.7,309.3425,273.58166666666665,263.9866666666667,239.24
2019-10-21 22:07:37+00:00,362.455,339.03,330.08,322.59000000000003,343.07,,,,339.58,,394.25,397.6975,390.49,389.76,384.45000000000005,386.6,334.312,338.288,338.66,316.4766666666667,331.7816666666667,316.3175,275.30333333333334,266.115,240.72799999999998
2019-12-08 22:07:32+00:00,362.455,339.03,330.08,322.59000000000003,343.07,,,,339.58,,393.87,394.97333333333336,388.125,388.08000000000004,389.8233333333333,385.855,329.6875,345.53000000000003,334.11,315.535,326.395,317.5466666666666,272.88800000000003,263.576,235.60249999999996
2020-01-09 22:07:25+00:00,362.455,339.03,330.08,322.59000000000003,343.07,,,,339.58,,393.87,394.5775,388.125,388.08000000000004,389.8233333333333,385.5466666666666,329.6875,348.99333333333334,337.166,317.226,328.746,314.40999999999997,275.79833333333335,268.02000000000004,240.664
2020-02-10 22:07:16+00:00,349.13,339.03,317.26,305.39,343.07,,,,339.58,,394.5466666666667,394.338,386.58,388.3766666666667,387.615,383.3625,333.5833333333333,353.6816666666667,342.502,320.008,331.26599999999996,310.43999999999994,279.27333333333337,274.62,247.358
2020-02-26 22:07:12+00:00,,,,,,,,,,,392.0,393.1566666666667,386.58,388.3766666666667,385.548,383.296,348.46000000000004,357.93833333333333,348.916,323.232,334.03999999999996,307.305,285.29333333333335,286.80833333333334,256.99800000000005
