dates,nzd0298-0000,nzd0298-0001,nzd0298-0002,nzd0298-0003,nzd0298-0004,nzd0298-0005,nzd0298-0006,nzd0298-0007,nzd0298-0008,nzd0298-0009,satname
2016-08-27 21:54:38+00:00,289.85999999999996,287.99799999999993,311.85999999999996,324.6227272727273,306.8755555555556,276.14375000000007,307.62,286.14,325.35833333333335,313.1,L8
2016-09-12 21:54:42+00:00,289.5525,286.726,311.76166666666666,324.7509090909091,306.5011111111111,279.4222222222222,306.47999999999996,292.1766666666667,325.285,313.76272727272726,L8
2016-11-22 22:00:35+00:00,292.7633333333333,289.8075,311.99375,326.78142857142853,306.68857142857144,303.06,305.95666666666665,309.1375,323.5975,312.2857142857143,L8
2016-12-17 21:54:43+00:00,293.395,291.776,312.24875,327.34714285714284,308.85714285714283,303.08000000000004,288.97249999999997,298.78,323.148,311.4216666666667,L8
2016-12-24 22:00:29+00:00,293.74,292.94166666666666,312.56555555555553,327.17,309.28625,303.08000000000004,279.322,293.568,322.74,312.8057142857143,L8
2017-01-09 22:00:50+00:00,293.935,293.37142857142857,313.10333333333335,327.35375,310.10625,305.0075,272.53,289.73499999999996,322.5057142857143,316.51714285714286,L8
2017-01-25 22:00:44+00:00,293.935,296.0042857142857,312.83624999999995,329.15000000000003,311.50428571428574,305.1666666666667,265.24399999999997,284.97999999999996,322.2783333333333,319.806,L8
2017-02-03 21:54:29+00:00,294.28000000000003,296.4275,312.7633333333333,328.92125,311.505,305.1666666666667,260.38999999999993,282.93,322.2314285714286,321.115,L8
2017-03-30 21:59:50+00:00,296.528,298.42333333333335,311.8671428571429,327.14142857142855,310.78428571428566,304.925,251.628,278.076,321.73199999999997,325.495,L8
2017-04-08 21:53:59+00:00,294.045,298.42333333333335,311.18375000000003,326.04375,309.84,304.925,251.628,278.076,301.16166666666663,309.05,L8
2017-04-24 21:53:49+00:00,294.045,298.42333333333335,310.37222222222226,325.26,309.02555555555557,304.925,251.628,278.076,286.66999999999996,300.075,L8
2017-06-11 21:54:09+00:00,292.66,297.168,308.3744444444444,320.7766666666667,307.2888888888889,299.67,238.35749999999996,269.9975,270.49285714285713,292.07166666666666,L8
2017-08-21 22:00:43+00:00,278.84000000000003,,304.27799999999996,315.72,301.394,,,,202.10000000000002,267.285,L8
2017-12-04 21:54:37+00:00,276.05,309.95,311.29,318.93666666666667,306.8566666666666,310.5,,314.73,205.185,300.71333333333337,L8
2017-12-11 22:00:48+00:00,286.53499999999997,308.4,315.93666666666667,326.95666666666665,312.3333333333333,309.445,,313.9,200.05,317.3966666666667,L8
2018-02-22 21:54:13+00:00,297.02,308.4,320.62,331.7633333333333,318.635,309.445,244.09,300.4533333333333,,328.2766666666667,L8
2018-04-11 21:53:49+00:00,297.02,308.4,315.73,327.48,312.78,309.445,244.09,300.4533333333333,,328.2766666666667,L8
2018-04-18 21:59:31+00:00,297.02,308.4,313.81,325.706,310.275,309.445,244.09,300.4533333333333,198.82,328.2766666666667,L8
2018-07-16 21:53:39+00:00,,,308.71333333333337,322.865,303.7733333333333,303.55,244.09,276.01,198.82,324.57,L8
2018-08-01 21:53:46+00:00,,,307.985,322.865,303.1975,303.55,244.09,283.81333333333333,198.82,304.9766666666667,L8
2018-08-08 22:00:01+00:00,,,307.87,322.236,303.406,303.55,225.21499999999997,283.81333333333333,204.105,303.3575,L8
2018-08-24 22:00:09+00:00,288.48,,308.25,318.96400000000006,303.57166666666666,303.55,206.36499999999995,288.94000000000005,209.41666666666666,298.4075,L8
2018-09-02 21:54:02+00:00,286.095,,308.61428571428576,317.7166666666667,303.84000000000003,303.55,206.31999999999996,288.94000000000005,210.64,298.31,L8
2018-09-09 22:00:15+00:00,288.55333333333334,302.38,310.01,319.5442857142857,305.06,307.385,231.45,295.86666666666673,233.37399999999997,303.2716666666667,L8
2018-10-04 21:54:14+00:00,289.895,302.77,310.01,320.52875,306.3044444444444,308.10333333333335,246.47199999999998,300.64,248.415,307.11,L8
2018-10-20 21:54:20+00:00,291.582,304.3566666666666,311.0133333333333,323.00428571428574,308.8875,308.6275,256.66,303.882,269.2766666666667,309.90125,L8
2018-11-05 21:54:24+00:00,292.9216666666667,304.6675,311.70428571428573,323.83250000000004,309.79999999999995,308.448,263.77,305.94666666666666,276.93,312.2344444444445,L8
2018-11-12 22:00:11+00:00,292.9216666666667,304.6675,311.70428571428573,323.83250000000004,308.979,308.448,263.77,305.94666666666666,276.93,312.2344444444445,L8
2018-12-14 22:00:07+00:00,293.34142857142854,304.6675,310.71500000000003,323.93444444444447,308.979,308.448,263.77,305.94666666666666,276.93,313.213,L8
2019-02-16 22:00:23+00:00,293.99875000000003,304.38800000000003,311.9816666666666,324.4425,311.175,309.59800000000007,277.54,314.054,293.48285714285714,321.43625000000003,L8
2019-02-25 21:54:10+00:00,294.7871428571429,304.38800000000003,311.6416666666667,324.33000000000004,311.60625000000005,309.59800000000007,289.3983333333333,314.054,305.72333333333336,318.88124999999997,L8
2019-03-04 22:00:18+00:00,296.6333333333334,304.38800000000003,311.81000000000006,320.94000000000005,312.4857142857143,309.59800000000007,306.032,314.054,324.00600000000003,321.87571428571425,L8
2019-05-16 21:54:03+00:00,297.23000000000013,303.27,307.3225,310.622,308.0566666666667,309.3,302.73,304.435,320.775,314.16,L8
2019-05-23 21:59:54+00:00,284.3833333333334,303.27,306.73,302.6616666666667,306.605,309.3,302.73,304.71666666666664,319.93,313.25,L8
2019-06-08 22:00:02+00:00,284.3833333333334,303.27,306.41,301.6114285714286,306.264,301.90999999999997,299.86,305.22249999999997,319.025,314.0266666666667,L8
2019-06-17 21:54:18+00:00,278.645,303.27,306.50166666666667,296.4742857142857,305.75166666666667,299.09999999999997,299.86,304.026,317.978,313.66833333333335,L8
2019-07-10 22:00:35+00:00,278.645,303.27,306.50166666666667,291.25125,304.35857142857145,299.09999999999997,299.86,304.026,317.978,313.66833333333335,L8
2019-07-26 22:00:16+00:00,278.645,303.27,305.6671428571429,291.8177777777778,303.96500000000003,296.6725,299.86,302.9483333333333,317.978,313.9485714285715,L8
2019-08-27 22:00:50+00:00,273.945,,304.008,287.89875,302.3357142857143,293.58500000000004,297.005,296.9066666666667,316.298,317.10166666666663,L8
2019-10-07 21:54:50+00:00,273.945,,304.575,291.5975,302.3357142857143,293.58500000000004,297.005,293.82142857142856,316.298,317.78000000000003,L8
2019-10-23 21:54:52+00:00,273.945,,303.8957142857143,291.5975,302.3357142857143,293.58500000000004,297.005,293.82142857142856,316.298,317.78000000000003,L8
2019-10-30 22:00:38+00:00,273.945,,303.8957142857143,291.5975,302.2175,293.58500000000004,297.005,293.82142857142856,316.298,317.78000000000003,L8
2019-12-10 21:54:46+00:00,289.2,,303.0575,294.284,304.06666666666666,296.3625,300.145,292.104,317.44,320.87399999999997,L8
2020-01-11 21:54:39+00:00,295.02,324.74,306.26,313.9125,308.332,297.3233333333333,300.145,286.446,321.09666666666664,322.70200000000006,L8
2020-02-19 22:00:40+00:00,295.02,324.74,310.4475,322.79999999999995,311.7,301.28999999999996,300.145,281.03999999999996,322.135,325.66999999999996,L8
2020-03-15 21:54:19+00:00,300.84,311.185,311.232,324.3125,312.33000000000004,303.205,301.7049999999999,287.142,323.09250000000003,327.7075,L8
2020-06-03 21:54:00+00:00,300.84,311.185,313.95,320.34,315.065,303.205,301.7049999999999,291.31399999999996,323.09250000000003,329.65999999999997,L8
2020-06-10 22:00:15+00:00,283.86,311.185,313.026,319.102,314.31333333333333,298.36,296.60499999999996,290.358,321.1575,319.3933333333334,L8
2020-07-28 22:00:35+00:00,266.88,297.63,310.94399999999996,317.39399999999995,310.07666666666665,298.3733333333333,296.94666666666666,296.98400000000004,318.8725,316.59,L8
2020-08-29 22:00:47+00:00,278.19,298.685,310.096,316.504,306.5366666666667,298.3733333333333,296.94666666666666,297.168,317.3175,315.13,L8
2020-09-07 21:54:40+00:00,281.99333333333334,298.685,309.75,317.02666666666664,306.7,298.3733333333333,296.565,297.5983333333333,317.3175,315.13,L8
2020-09-14 22:00:53+00:00,284.125,297.76,309.185,317.4783333333333,306.5825,299.16,296.19,297.685,316.4,316.5825,L8
2020-10-25 21:54:48+00:00,288.736,303.8566666666666,310.19,319.96999999999997,309.37,301.765,298.08,300.36428571428576,317.868,320.268,L8
2021-01-04 22:00:30+00:00,294.57000000000005,305.4475,311.6266666666667,326.67833333333334,310.7316666666666,303.70666666666665,299.3325,295.165,319.722,326.98999999999995,L8
