dates,nzd0128-0000,nzd0128-0001,nzd0128-0002,nzd0128-0003,nzd0128-0004,nzd0128-0005,nzd0128-0006,nzd0128-0007,nzd0128-0008,nzd0128-0009,nzd0128-0010,nzd0128-0011,nzd0128-0012,nzd0128-0013,nzd0128-0014,nzd0128-0015,nzd0128-0016,nzd0128-0017,satname
2014-01-24 22:06:45+00:00,274.305,348.5083333333334,344.76,340.444,164.56,337.975,333.55333333333334,323.69666666666666,328.9116666666667,335.48833333333334,331.3633333333333,351.63200000000006,355.202,347.84999999999997,355.04833333333335,349.3183333333333,339.71333333333337,342.88500000000005,L8
2014-03-20 22:12:13+00:00,305.0933333333333,354.6116666666667,350.56333333333333,348.81,164.56,349.27750000000003,339.35499999999996,331.24,334.84833333333336,340.61833333333334,336.39500000000004,357.86600000000004,360.654,353.62833333333333,359.62833333333333,354.75499999999994,344.52666666666664,351.09999999999997,L8
2014-03-29 22:05:52+00:00,315.42,357.01000000000005,352.7757142857143,350.315,164.56,347.34000000000003,341.1471428571428,333.36285714285714,336.38571428571424,342.7642857142857,338.48,360.33500000000004,365.1583333333333,356.4071428571429,362.30285714285714,358.69,348.0457142857143,354.15,L8
2014-04-05 22:11:58+00:00,317.004,355.76125,351.48125,348.7057142857143,164.56,341.4533333333334,340.16125,331.3575,335.5525,342.44875,337.475,358.6257142857143,362.6471428571428,355.13625,361.45500000000004,357.585,346.38125,352.13374999999996,L8
2014-04-21 22:11:42+00:00,309.3383333333333,350.04125,345.88,341.9585714285714,168.89,324.28333333333336,335.03999999999996,325.34375,330.77500000000003,337.60125,333.885,354.1671428571429,356.5414285714286,351.51125,357.53375,354.11875,341.03999999999996,346.4875,L8
2014-04-30 22:05:22+00:00,303.11285714285714,347.5333333333333,343.62,337.16999999999996,168.89,324.28333333333336,335.03999999999996,322.03999999999996,328.68555555555554,334.28,333.885,354.1671428571429,353.31624999999997,349.4244444444445,355.7888888888889,352.09222222222223,338.2966666666667,343.73777777777775,L8
2014-06-17 22:05:20+00:00,292.35714285714283,345.59857142857146,342.52571428571434,336.4833333333333,170.19,319.685,333.84499999999997,319.85714285714283,328.0857142857143,333.50428571428574,332.7266666666667,354.32599999999996,351.8766666666667,349.88571428571424,355.82428571428574,351.7885714285714,335.77000000000004,341.58000000000004,L8
2014-07-26 22:11:43+00:00,287.3885714285714,346.7942857142857,343.73285714285714,334.99285714285713,177.60333333333335,307.196,333.59166666666664,319.77714285714285,328.4142857142857,332.5642857142857,332.2633333333334,350.81333333333333,349.70428571428573,349.39571428571435,355.94,352.21000000000004,335.28428571428566,341.3542857142857,L8
2014-08-11 22:11:51+00:00,283.585,345.3775,342.12625,333.295,177.7725,307.196,333.59166666666664,314.0275,324.105,327.70625,327.2514285714286,346.03000000000003,349.70428571428573,349.39571428571435,355.94,352.21000000000004,335.28428571428566,341.3542857142857,L8
2014-08-20 22:05:42+00:00,281.54555555555555,343.96666666666664,340.69777777777773,332.1,178.316,307.196,333.59166666666664,312.00777777777773,322.91111111111115,324.6011111111111,325.59375,343.8675,347.64625,346.55875000000003,353.9025,350.065,331.675,338.56,L8
2014-09-05 22:05:45+00:00,281.54555555555555,343.15299999999996,339.882,332.1,178.316,300.395,331.82142857142856,311.123,322.394,323.227,325.0066666666667,342.4144444444444,342.3588888888889,340.37111111111113,352.60777777777776,349.51,331.03666666666663,337.6977777777778,L8
