dates,nzd0388-0000,nzd0388-0001,nzd0388-0002,nzd0388-0003,nzd0388-0004,nzd0388-0005,nzd0388-0006,nzd0388-0007,nzd0388-0008,nzd0388-0009,nzd0388-0010,nzd0388-0011,nzd0388-0012,nzd0388-0014,nzd0388-0015,nzd0388-0016,nzd0388-0017,nzd0388-0013,nzd0388-0018,nzd0388-0019,nzd0388-0020,nzd0388-0021
2021-11-02 22:13:50+00:00,315.56,318.41333333333336,305.92,,339.44,296.28,277.51,264.24,281.83,298.7966666666667,296.61,296.445,330.44,321.505,277.58,277.25,276.19,,281.71,275.11,,
2021-11-06 22:14:23+00:00,315.56,318.41333333333336,305.92,,354.025,296.28,277.51,264.24,281.83,298.7966666666667,296.61,296.445,330.44,321.505,277.58,277.25,276.19,,281.71,275.11,,
2021-11-16 22:19:19+00:00,314.3125,317.22249999999997,305.49,,354.025,295.98,281.29499999999996,271.99,282.42499999999995,295.635,295.855,297.21666666666664,330.44,321.505,281.385,275.905,276.19,251.24,281.71,275.11,,
2022-01-20 22:19:51+00:00,314.3125,317.22249999999997,305.49,,354.025,295.98,281.29499999999996,271.99,282.42499999999995,295.635,295.855,297.21666666666664,330.44,321.505,278.44666666666666,278.42333333333335,277.525,251.24,277.105,275.11,288.05,
2022-01-28 22:19:43+00:00,313.872,316.02799999999996,298.1025,,354.025,293.2833333333333,283.1766666666667,278.77,283.46666666666664,294.46,294.48333333333335,298.18,314.945,315.84666666666664,280.3425,280.58,279.87,252.69,279.32,280.35,294.505,299.9
2022-01-29 22:14:05+00:00,313.872,316.02799999999996,298.1025,,355.1933333333333,293.2833333333333,283.1766666666667,278.77,283.46666666666664,294.46,294.48333333333335,298.18,314.945,315.84666666666664,280.3425,280.58,279.87,252.69,279.32,280.35,294.505,299.9
2022-02-13 22:19:40+00:00,318.33000000000004,319.718,296.46999999999997,291.74,355.1933333333333,293.53999999999996,284.84,282.595,285.1,296.28999999999996,294.48333333333335,300.565,311.3233333333333,313.53249999999997,282.0,282.268,281.185,253.56000000000003,280.45,282.71666666666664,299.02,305.565
2022-03-01 22:19:36+00:00,318.13599999999997,319.88199999999995,293.86,291.74,355.1933333333333,290.6825,286.025,288.1625,283.37,295.664,292.74333333333334,300.315,311.3233333333333,307.1925,282.726,283.002,282.245,252.47,280.14,284.6766666666667,298.02750000000003,305.565
2022-03-02 22:13:49+00:00,317.5733333333333,319.22499999999997,295.37600000000003,292.125,355.1933333333333,291.77200000000005,286.904,289.12399999999997,284.334,295.715,293.845,300.606,311.3233333333333,307.206,283.26666666666665,283.50166666666667,281.354,252.504,280.012,284.735,297.61199999999997,305.565
2022-03-09 22:19:37+00:00,316.9542857142857,317.89285714285717,293.89166666666665,292.125,355.1933333333333,291.945,286.9683333333333,289.36833333333334,283.9116666666667,294.9585714285714,293.692,300.6616666666667,311.3233333333333,306.53333333333336,283.2257142857143,283.89428571428573,281.75333333333333,252.504,279.8483333333333,284.082,297.96,305.565
