dates,satname,nzd0235-0000,nzd0235-0001,nzd0235-0002,nzd0235-0003,nzd0235-0005,nzd0235-0006,nzd0235-0007,nzd0235-0008,nzd0235-0009,nzd0235-0010,nzd0235-0011,nzd0235-0012,nzd0235-0013,nzd0235-0014,nzd0235-0015,nzd0235-0016,nzd0235-0017,nzd0235-0019,nzd0235-0020,nzd0235-0023,nzd0235-0024,nzd0235-0025,nzd0235-0026,nzd0235-0028,nzd0235-0029,nzd0235-0030,nzd0235-0031,nzd0235-0018,nzd0235-0021,nzd0235-0022,nzd0235-0027,nzd0235-0004
2014-09-07 21:53:48.789000,L8,419.12,396.31,403.05,404.40,369.84,376.78,395.43,443.30,439.69,441.53,433.35,421.61,426.99,432.51,428.37,430.28,422.38,430.14,420.34,430.88,400.27,397.91,392.40,375.60,380.08,405.56,413.14,424.25,421.74,426.10,381.88,388.59
2014-09-23 21:53:45.463000,L8,355.34,332.31,312.68,314.03,,,,360.42,380.15,379.09,390.32,381.70,377.88,375.11,382.02,393.95,387.44,365.92,361.91,366.77,334.40,336.74,323.13,320.57,322.70,328.04,343.73,372.48,367.02,387.60,323.58,
2014-10-25 21:53:52.818000,L8,359.40,339.67,317.81,319.91,227.89,280.69,199.66,368.87,380.35,375.05,389.75,384.06,381.49,373.62,382.48,414.52,408.36,370.45,367.73,390.62,341.88,339.94,326.17,336.45,341.06,349.98,358.73,405.22,365.94,397.66,342.58,
2014-11-10 21:53:54.574000,L8,358.32,338.52,318.98,317.76,,,,361.57,377.42,372.74,386.45,382.63,377.42,369.57,378.61,393.75,389.01,366.13,366.33,370.37,337.78,333.84,321.92,317.74,328.00,329.82,340.22,375.38,358.72,383.82,322.28,
2015-01-13 21:53:42.692000,L8,317.28,312.81,316.01,284.37,,,,289.75,327.43,350.78,365.51,368.80,369.32,363.23,367.10,380.77,375.10,294.57,338.25,,227.65,286.22,264.80,293.12,307.79,310.57,307.28,185.83,294.06,,298.09,
2015-01-29 21:53:37.750000,L8,376.74,339.16,326.38,313.34,216.90,264.38,191.02,357.37,378.98,379.92,422.31,438.47,410.26,417.17,445.05,416.23,389.24,372.51,373.14,402.80,380.79,342.30,327.41,338.87,354.44,365.08,382.09,370.61,368.06,386.51,338.07,
2015-04-03 21:53:02.921000,L8,345.30,329.37,307.85,302.21,,,,352.20,372.16,370.06,380.96,375.59,375.07,368.16,372.68,416.14,413.79,398.23,393.05,370.15,325.95,333.00,330.18,323.91,337.66,355.23,366.59,406.63,398.49,397.76,323.64,
2015-04-19 21:53:02.761000,L8,441.86,434.59,429.68,431.10,434.50,433.38,450.22,472.12,483.65,482.24,473.55,462.95,487.33,489.97,485.32,484.04,476.46,453.02,452.56,453.73,447.67,449.60,470.36,438.86,426.21,445.53,473.86,465.68,460.22,461.54,425.11,419.73
2015-05-05 21:52:48.765000,L8,,,,,,,,322.02,349.58,355.35,369.94,364.18,363.36,350.02,354.62,375.74,365.85,352.79,349.10,351.52,291.41,316.94,260.01,299.52,301.73,304.53,,355.47,289.78,368.99,307.55,
2015-06-06 21:52:52.670000,L8,378.53,369.59,345.80,355.81,351.42,386.12,398.58,413.94,421.98,405.67,404.78,412.29,404.84,409.96,404.40,417.64,403.79,391.50,385.70,387.73,376.11,361.61,360.99,380.01,367.43,368.05,373.84,396.89,395.13,397.69,353.31,366.41
2015-07-08 21:53:09.931000,L8,378.38,365.41,328.46,324.42,278.97,293.22,278.00,375.12,389.42,421.59,406.06,397.14,413.86,401.38,403.39,424.16,411.94,387.08,383.29,390.42,367.54,366.54,352.01,340.57,342.74,348.71,365.74,394.90,397.52,399.36,345.55,181.85
2015-08-25 21:53:27.637000,L8,361.09,343.91,325.80,317.63,258.49,294.17,230.56,367.47,387.75,391.60,400.48,390.49,396.02,384.46,391.40,405.82,396.81,394.45,381.73,381.31,354.65,356.21,340.03,349.07,342.83,356.08,373.22,392.08,390.50,396.68,345.68,164.65
