dates,nzd0019-0000,nzd0019-0001,nzd0019-0002,nzd0019-0003,nzd0019-0004,nzd0019-0005,nzd0019-0006,nzd0019-0007,nzd0019-0008,nzd0019-0011,nzd0019-0009,nzd0019-0010,satname
2022-06-21 22:17:48+00:00,392.23857142857145,364.29375,366.67571428571426,367.3342857142857,373.62999999999994,385.41166666666663,345.17333333333335,309.146,,344.39000000000004,366.63,263.56333333333333,L8
2022-07-15 22:17:24+00:00,392.12,364.20000000000005,364.7725,366.26000000000005,373.62999999999994,380.35571428571427,344.9085714285714,307.87666666666667,,343.8614285714286,366.63,262.3414285714286,L9
2022-07-31 22:17:39+00:00,391.02555555555557,363.07800000000003,359.32444444444445,361.6644444444444,373.62999999999994,372.84625,344.9085714285714,305.21571428571434,,340.66,366.63,262.3414285714286,L9
2022-08-09 22:11:34+00:00,390.419,361.19,357.299,360.084,372.63142857142856,372.57666666666665,344.94124999999997,305.21571428571434,,341.79333333333335,366.63,265.13125,L9
2022-08-25 22:11:39+00:00,388.548,357.5181818181818,356.5777777777778,359.84333333333336,376.79833333333335,372.57666666666665,352.0271428571428,306.0066666666667,,342.03625,366.63,266.34000000000003,L9
2022-09-09 22:18:11+00:00,388.8163636363637,357.8633333333333,355.75300000000004,359.552,372.55428571428564,370.283,348.95124999999996,305.45,,341.63888888888886,366.63,265.4525,L8
2022-09-17 22:17:54+00:00,389.17333333333335,358.32,355.9018181818182,359.8372727272727,371.61749999999995,369.26363636363635,349.0744444444444,305.45,198.7,341.60299999999995,366.63,264.8177777777778,L9
2022-10-19 22:18:03+00:00,388.67083333333335,357.176923076923,353.96,358.66545454545457,372.86777777777775,367.5890909090909,350.62,305.45,198.7,342.1563636363636,364.53499999999997,265.034,L9
2022-11-12 22:18:10+00:00,388.07916666666665,357.1033333333333,351.7018181818182,356.5581818181818,367.71999999999997,363.67636363636365,348.60999999999996,300.0942857142857,198.7,341.5163636363636,362.44,264.02,L8
2022-12-22 22:17:59+00:00,387.37666666666667,355.3888888888889,347.39875,353.05125,358.9783333333333,353.62375000000003,346.1,298.5,197.74,340.00124999999997,362.44,262.6142857142857,L9
