dates,satname,nzd0171-0000,nzd0171-0001,nzd0171-0002,nzd0171-0003,nzd0171-0004,nzd0171-0006,nzd0171-0007,nzd0171-0005,nzd0171-0008,nzd0171-0009
2019-11-22 22:06:21.092000,L8,311.72,297.98,288.09,248.65,278.50,274.93,284.89,274.45,240.15,259.53
2019-12-08 22:05:56.780000,L8,314.29,305.10,293.97,251.18,282.79,271.42,218.89,252.09,,
2019-12-08 22:06:20.730000,L8,313.53,282.82,292.50,249.20,282.12,266.58,286.94,248.20,,
2020-01-09 22:06:13.711000,L8,321.24,317.00,302.86,248.98,288.32,280.06,290.95,277.88,268.95,271.46
2020-01-16 22:11:59.041000,L8,318.21,307.00,296.89,289.52,273.34,231.04,284.92,,239.43,267.01
2020-01-25 22:05:45.614000,L8,313.79,279.02,231.42,217.22,282.73,242.88,258.19,,,
2020-01-25 22:06:09.569000,L8,324.83,313.96,299.86,295.62,287.20,268.31,290.18,272.32,246.03,270.87
2020-02-01 22:11:53.781000,L8,323.97,321.69,301.30,296.68,289.54,280.14,293.12,280.97,273.84,273.37
2020-02-10 22:05:40.938000,L8,318.54,317.31,302.02,292.88,287.63,268.46,285.01,269.45,246.36,264.66
2020-02-10 22:06:04.888000,L8,313.80,269.64,298.60,289.94,286.26,263.60,281.59,266.64,243.72,261.13
2020-03-13 22:05:30.251000,L8,328.37,329.15,303.36,297.25,288.66,275.65,290.65,277.03,266.42,269.16
2020-03-13 22:05:54.202000,L8,329.46,330.39,303.54,297.35,288.36,276.37,290.46,277.76,267.24,269.10
2020-04-21 22:11:21.823000,L8,309.04,290.05,195.27,213.13,188.02,195.41,278.79,254.90,,
2020-05-07 22:11:12.613000,L8,314.64,305.80,295.04,290.61,283.96,277.14,286.50,276.21,268.13,267.13
2020-05-16 22:05:27.607000,L8,313.45,305.03,296.43,292.16,283.54,277.44,221.76,275.69,204.05,221.96
2020-06-01 22:05:08.645000,L8,309.61,,293.41,285.66,282.41,219.94,283.44,,,
2020-06-01 22:05:32.600000,L8,199.60,,291.26,,,,,,,
2020-06-08 22:11:24.028000,L8,299.21,,292.35,248.81,282.32,270.48,279.85,,231.38,255.93
2020-07-10 22:11:39.723000,L8,,,,,,205.55,280.49,,,
