dates,satname,nzd0499-0000,nzd0499-0001,nzd0499-0002,nzd0499-0003,nzd0499-0004,nzd0499-0005,nzd0499-0006,nzd0499-0007,nzd0499-0008,nzd0499-0009,nzd0499-0010,nzd0499-0011,nzd0499-0012,nzd0499-0013,nzd0499-0014,nzd0499-0015,nzd0499-0016,nzd0499-0017,nzd0499-0018,nzd0499-0019,nzd0499-0020,nzd0499-0021,nzd0499-0022,nzd0499-0023,nzd0499-0024,nzd0499-0025,nzd0499-0026,nzd0499-0027,nzd0499-0028,nzd0499-0029,nzd0499-0030,nzd0499-0031,nzd0499-0032,nzd0499-0033
2011-02-08 22:04:35.159000,L5,,348.14,343.33,340.18,338.51,336.00,339.27,336.46,340.02,334.61,337.10,341.63,353.88,354.96,362.03,367.90,370.49,375.44,365.26,364.68,355.24,354.22,349.33,350.19,349.70,357.48,357.37,354.48,354.54,353.62,356.55,355.14,351.80,349.93
2011-03-12 22:04:31.079000,L5,,330.82,332.12,328.08,331.43,330.07,327.56,322.07,324.80,330.77,329.30,334.23,334.27,342.42,346.97,351.06,346.26,351.04,355.59,348.09,340.81,341.95,339.31,342.68,342.33,348.52,349.32,345.43,345.30,343.21,343.92,338.47,338.40,344.47
2013-05-11 22:22:42.945000,L8,274.54,276.62,295.58,299.35,297.55,295.61,285.21,283.12,286.17,291.50,291.67,295.50,297.83,302.57,311.15,310.75,266.56,304.74,313.60,310.09,305.45,304.46,302.14,305.32,307.35,317.16,318.34,318.94,310.55,309.68,290.04,292.39,290.41,306.51
2013-06-05 22:16:38.960000,L8,259.14,,281.09,284.12,280.80,279.92,266.25,271.78,272.08,277.67,277.09,279.10,277.12,286.91,295.55,286.48,224.33,267.78,292.88,296.82,290.96,292.09,291.59,290.21,295.37,,,,,,,,,
2013-06-28 22:22:44.910000,L8,260.98,,281.13,282.65,280.63,279.16,261.45,268.31,270.56,274.36,269.56,,,,,,,,,,,,,,,,,,,,,,,
2013-07-07 22:16:35.929000,L8,269.32,280.82,303.94,301.44,300.88,299.16,293.95,284.46,289.80,297.42,291.77,296.59,298.16,301.89,311.57,311.50,273.32,303.66,314.15,312.02,307.17,310.30,302.69,307.37,307.21,316.90,320.88,315.62,311.50,307.00,279.62,290.03,290.21,321.64
2013-07-23 22:16:34.633000,L8,259.82,,278.61,281.99,281.20,279.53,264.44,267.59,272.22,276.18,273.98,277.56,258.30,,,,,,,,,,,,,,,,,,,,,
2013-08-08 22:16:37.441000,L8,264.50,,282.09,281.37,280.10,279.61,264.32,264.58,270.99,276.79,274.27,274.68,254.20,,,,,,,,,,,,,,,,,,,,,
2013-08-31 22:22:50.245000,L8,266.19,,277.77,279.97,277.92,274.94,261.90,263.01,268.98,271.67,271.82,275.16,267.37,,,,,,,,,,,,,,,,,,,,,
2013-09-25 22:16:28.938000,L8,277.50,256.70,279.91,278.47,,,,,,,,,,284.52,295.77,293.05,232.20,280.21,299.40,298.80,292.51,291.34,291.26,289.20,291.24,,,,,,,,,
2013-10-02 22:22:40.460000,L8,,338.03,324.60,321.30,320.09,325.95,317.58,282.31,299.87,327.59,310.41,300.24,303.30,328.31,331.22,314.43,289.10,310.68,319.25,317.92,310.79,306.24,305.29,308.98,306.35,316.47,319.13,315.95,311.55,308.98,291.89,294.98,291.33,323.88
2013-10-11 22:16:29.291000,L8,407.55,275.98,295.96,303.56,296.84,294.52,294.35,278.69,283.43,288.69,291.12,294.67,293.52,296.42,309.17,308.30,267.73,299.17,309.50,305.48,301.36,298.76,300.82,315.84,295.14,303.75,307.18,303.89,303.57,302.55,279.94,288.02,283.07,296.39
2013-10-18 22:22:37.411000,L8,382.99,280.15,299.24,306.56,302.77,299.83,288.44,281.77,284.74,292.44,290.71,296.50,297.78,303.21,309.58,311.97,269.44,302.00,310.86,307.27,303.47,297.89,299.53,302.51,305.09,316.35,318.26,316.38,310.59,309.52,286.97,293.38,288.41,315.32
2013-10-27 22:16:19.549000,L8,331.29,,,,,,,,,,,,,,,,,,,,,375.56,390.00,379.20,351.72,,,,,,,,317.83,403.41
2013-11-19 22:22:25.407000,L8,379.06,279.64,293.59,296.59,294.24,293.59,283.37,278.15,282.12,287.87,288.56,294.81,297.04,297.82,307.67,311.75,262.54,300.64,312.68,307.01,302.21,,,,,,306.36,313.98,313.63,309.65,285.31,292.11,287.36,304.88
2013-12-30 22:16:01.055000,L8,288.63,282.92,293.67,297.06,295.66,292.26,280.42,279.35,284.18,288.16,288.80,296.10,294.18,301.81,309.39,307.88,267.47,301.34,313.80,308.63,305.68,298.91,300.85,304.28,303.38,310.95,311.79,315.25,309.12,309.69,283.37,289.99,288.41,293.52
2014-02-23 22:21:32.043000,L8,408.35,282.90,290.70,290.07,287.95,284.69,279.16,278.56,283.64,283.92,286.69,294.50,295.38,301.49,305.39,307.90,270.34,305.45,311.99,307.22,303.77,299.94,300.59,303.13,305.09,312.80,315.18,313.63,310.90,307.88,,290.37,287.63,296.27
2014-03-11 22:21:19.920000,L8,397.09,288.22,292.72,291.25,287.86,285.40,281.55,278.57,285.72,285.29,287.73,294.64,298.27,302.41,306.42,309.25,271.70,306.94,314.06,306.90,304.98,301.56,301.85,304.63,305.77,314.94,316.00,315.90,311.58,310.35,283.70,294.45,289.14,297.43
2014-03-20 22:15:01.497000,L8,280.54,282.99,288.86,290.11,286.59,283.86,278.13,279.07,280.29,282.16,283.78,293.47,293.17,297.72,304.23,305.54,267.64,302.85,310.34,305.02,301.49,298.76,300.10,301.21,303.81,312.86,314.13,312.63,308.79,305.23,,288.05,286.27,292.48
2014-04-21 22:14:29.865000,L8,,,270.10,269.70,266.78,264.42,256.27,260.29,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-30 22:20:22.872000,L8,,268.97,269.05,265.83,268.85,268.60,258.81,265.07,267.13,265.97,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17 22:20:39.943000,L8,262.91,268.98,266.16,264.38,265.53,265.52,264.31,264.63,264.86,266.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-02 22:20:46.799000,L8,428.38,288.31,282.11,284.39,287.27,285.50,299.48,283.56,284.21,281.47,278.46,285.21,289.99,293.48,296.09,299.46,284.47,302.84,302.82,301.95,298.57,299.77,300.56,302.27,303.89,312.17,313.86,307.12,304.57,298.30,278.81,279.11,273.30,319.53
