dates,satname,nzd0425-0000,nzd0425-0001,nzd0425-0002,nzd0425-0003,nzd0425-0004,nzd0425-0005,nzd0425-0006,nzd0425-0007,nzd0425-0008,nzd0425-0009,nzd0425-0010,nzd0425-0011,nzd0425-0012,nzd0425-0013,nzd0425-0014,nzd0425-0015,nzd0425-0016,nzd0425-0017,nzd0425-0018,nzd0425-0019,nzd0425-0020,nzd0425-0021,nzd0425-0022,nzd0425-0023,nzd0425-0025,nzd0425-0026,nzd0425-0024
2025-01-04 22:20:02.767000,L8,325.31,333.28,329.92,341.90,358.42,364.11,339.58,394.72,375.24,385.38,285.01,291.70,261.64,256.77,228.69,242.09,421.55,439.05,474.90,542.10,,,,,,,
2025-01-12 22:20:09.312000,L9,323.14,309.84,311.94,315.08,305.35,289.34,283.43,287.22,277.40,287.65,288.02,295.97,266.35,193.49,,,,,,,,,,,,,
2025-01-20 22:20:01.302000,L8,319.95,313.44,310.73,313.57,304.74,284.89,279.97,282.50,274.85,283.20,285.68,291.50,263.42,189.69,,,,,,,,,,,,,
2025-02-13 22:20:10.653000,L9,318.90,309.60,317.33,315.95,304.60,286.76,280.42,283.96,273.70,282.07,285.10,289.96,264.46,191.36,,,,,,,,,,,,,
2025-02-21 22:19:55.138000,L8,338.84,314.39,318.82,320.17,309.68,289.13,281.74,285.00,276.43,283.25,286.15,290.54,267.00,191.82,224.43,239.05,225.45,209.92,,,,,,,287.91,275.09,309.88
2025-04-10 22:19:34.602000,L8,328.29,313.55,315.42,330.42,339.10,287.79,287.99,287.78,273.95,283.73,284.84,293.86,267.74,193.17,,,,,,,,,,,278.89,249.09,290.67
2025-06-13 22:19:36.614000,L8,313.65,300.08,292.63,296.79,280.02,267.44,257.85,253.02,242.43,247.85,233.24,251.91,,,,,,,,,,,,,,,
2025-06-29 22:19:44.842000,L8,310.11,299.25,292.00,294.47,276.99,263.25,257.69,253.79,242.52,248.94,240.54,249.34,,,,,,,,,,,,,,,
2025-07-15 22:19:49.283000,L8,,,,292.02,279.17,263.58,259.65,261.77,248.97,255.73,253.87,258.32,206.35,,,,,,,,,,,,,,
2025-07-23 22:19:51.284000,L9,309.54,296.18,288.99,291.83,274.84,213.68,,,,,,,,,,,,,,,,,,,,,
2025-07-31 22:19:53.675000,L8,308.75,298.16,293.88,298.21,281.47,268.33,258.90,255.85,247.43,,,,,,,,,,,,,,,,,,
2025-08-08 22:20:00.257000,L9,315.45,306.41,300.61,295.60,280.07,266.04,259.19,255.68,245.71,,,,,,,,,,,,,,,,,,
2025-08-16 22:20:02.455000,L8,301.49,288.36,282.41,285.07,271.53,258.13,,,,,,,,,,,,,,,,,,,,,
