dates,satname,nzd0152-0000,nzd0152-0001,nzd0152-0002,nzd0152-0003,nzd0152-0004,nzd0152-0005,nzd0152-0006,nzd0152-0011,nzd0152-0012,nzd0152-0007,nzd0152-0008,nzd0152-0009,nzd0152-0010
2020-09-21 22:05:54.893000,L8,276.54,273.11,281.04,283.34,,,,,261.60,,,,
2020-09-21 22:06:18.848000,L8,347.08,292.94,295.76,300.37,283.99,289.67,293.15,275.51,278.96,286.77,280.71,277.61,268.59
2020-10-23 22:05:58.112000,L8,,,,,,,,260.50,265.47,,,,
2020-12-26 22:05:56.607000,L8,353.65,319.53,296.83,300.56,283.87,289.59,294.49,276.62,282.41,288.91,283.63,278.34,271.88
2020-12-26 22:06:20.557000,L8,324.89,340.61,296.44,300.99,283.63,289.64,293.81,276.49,281.85,288.33,283.56,277.60,271.74
2021-01-11 22:05:50.293000,L8,335.80,296.45,297.29,299.19,283.90,288.29,292.75,275.15,282.84,288.63,282.81,279.39,269.80
2021-01-11 22:06:14.248000,L8,334.42,293.60,296.42,298.41,282.60,287.06,291.75,274.38,281.78,287.04,281.42,276.98,268.44
2021-02-12 22:05:43.398000,L8,351.40,295.99,296.17,303.22,282.01,287.20,293.36,277.15,281.64,285.71,281.36,278.04,269.31
2021-02-12 22:06:07.348000,L8,351.15,295.25,295.04,302.38,280.74,285.74,292.21,274.92,280.20,284.70,280.73,275.32,268.65
2021-04-01 22:05:24.398000,L8,349.85,325.53,296.90,302.00,284.91,290.19,294.23,279.24,280.77,287.19,282.34,281.08,268.41
2021-04-01 22:05:48.357000,L8,350.20,341.26,297.40,302.24,285.11,290.31,294.58,279.87,280.79,287.10,282.58,281.80,268.65
2021-05-03 22:05:08.805000,L8,355.31,340.96,294.77,297.90,285.43,288.87,294.19,278.58,284.85,287.51,281.05,280.71,269.75
2021-05-03 22:05:32.764000,L8,279.84,278.59,280.43,284.63,,,,,265.48,,,,
2021-05-19 22:05:16.285000,L8,356.83,340.78,300.20,306.12,291.91,296.11,302.85,295.01,291.61,313.30,303.54,299.05,294.39
2021-05-19 22:05:40.235000,L8,,,,,,,,261.36,265.12,,,,
2021-09-24 22:05:56.897000,L8,294.15,301.22,294.50,302.25,285.38,291.20,292.12,274.70,277.72,287.73,281.78,276.35,269.20
2021-09-24 22:06:20.847000,L8,293.60,297.77,293.86,301.72,284.86,289.88,291.71,273.85,276.54,286.54,280.57,275.84,268.84
2021-10-26 22:06:04.141000,L8,352.35,331.76,349.44,344.44,326.90,325.52,313.92,285.29,284.67,321.45,298.71,292.14,278.68
2021-12-05 22:06:01.634000,L9,,,,,,,,263.79,269.83,,,,
2021-12-29 22:05:53.312000,L8,295.63,293.05,292.33,296.54,279.50,282.62,,273.33,276.99,281.23,277.24,273.08,263.73
2022-01-22 22:05:54.259000,L9,,,,,,,,269.20,275.66,281.20,276.79,267.89,260.70
2022-01-22 22:06:18.213000,L9,,,,,,,,,262.98,,,,
2022-01-30 22:06:10.369000,L8,297.86,294.81,294.05,298.07,282.50,286.79,292.41,277.36,278.14,281.78,279.16,278.59,266.75
