dates,nzd0391-0000,nzd0391-0001,nzd0391-0002,nzd0391-0003,nzd0391-0004,nzd0391-0005,nzd0391-0006,nzd0391-0007,nzd0391-0008,nzd0391-0009,nzd0391-0010,nzd0391-0011,nzd0391-0012,nzd0391-0013,nzd0391-0014,nzd0391-0015,nzd0391-0016,nzd0391-0017,nzd0391-0018,nzd0391-0019,nzd0391-0020,nzd0391-0021,satname
2021-05-03 22:06:44.632,381.1414285714286,367.5057142857143,378.32428571428574,364.6357142857143,364.95142857142855,289.425,186.402,286.246,258.3042857142857,246.86333333333337,256.67285714285714,191.98250000000002,307.47999999999996,316.76714285714286,295.084,297.67285714285714,266.8885714285714,230.10500000000002,307.4742857142857,336.98285714285714,355.35,347.18285714285713,L8
2021-05-03 22:07:08.587,379.48,366.57374999999996,377.905,363.95625,363.43375000000003,289.425,187.20000000000002,297.59666666666664,255.86499999999998,247.72000000000003,246.5375,192.064,308.115,311.955,294.54833333333335,284.73125,261.36875000000003,227.29666666666665,305.155,338.4425,354.82500000000005,347.03999999999996,L8
2021-05-19 22:06:52.116,378.17555555555555,365.5811111111111,377.8955555555556,363.4555555555556,363.05222222222227,291.04200000000003,187.20000000000002,307.6485714285714,254.57888888888888,248.22400000000002,239.40888888888887,193.46,310.07142857142856,311.955,295.04857142857145,284.73125,261.36875000000003,227.29666666666665,305.155,338.4425,354.6388888888889,347.2855555555555,L8
2021-05-19 22:07:16.079,377.245,364.67199999999997,377.644,362.976,363.358,291.04200000000003,187.20000000000002,307.6485714285714,253.17399999999998,248.43000000000004,233.147,193.8642857142857,310.65999999999997,308.21777777777777,294.91625,284.73125,257.25,227.29666666666665,302.4977777777778,340.30222222222227,353.97400000000005,346.983,L8
2021-07-06 22:07:08.299,377.245,363.7772727272727,377.2936363636363,362.976,363.358,292.1066666666667,186.3542857142857,307.6485714285714,253.17399999999998,243.68000000000004,228.20636363636365,194.71875,311.38666666666666,308.21777777777777,294.91625,275.90444444444444,252.3,234.45999999999998,297.685,337.92,353.6536363636364,348.2890909090909,L8
2021-07-22 22:07:12.797,377.245,362.44666666666666,377.2936363636363,362.55636363636364,363.358,292.59999999999997,184.185,307.6485714285714,253.17399999999998,238.45625,223.81833333333336,194.28666666666666,311.38666666666666,308.21777777777777,294.91625,268.04499999999996,247.93545454545455,227.60399999999998,289.7681818181818,337.92,349.88750000000005,348.2890909090909,L8
2021-07-22 22:07:36.760,375.87545454545455,361.39384615384614,376.885,362.1141666666667,361.8263636363636,293.0125,184.185,307.6485714285714,253.17399999999998,235.76555555555558,220.06615384615387,194.077,311.38666666666666,308.21777777777777,294.91625,261.5945454545454,244.52583333333334,223.45333333333335,283.49833333333333,333.97545454545457,349.58923076923077,347.8,L8
2021-08-23 22:07:25.117,374.17555555555555,357.86083333333335,376.1054545454545,360.729,361.869,293.7625,181.84375,307.6485714285714,248.43874999999997,235.76555555555558,202.6118181818182,193.63888888888889,312.065,296.49142857142857,294.615,234.552,229.27636363636367,219.99857142857144,270.3281818181818,329.19777777777773,347.37583333333333,345.48,L8
2021-08-23 22:07:49.080,374.019,357.32384615384615,376.23749999999995,361.01090909090914,362.7236363636364,294.75333333333333,181.84375,307.6485714285714,249.7233333333333,235.81800000000004,200.0675,194.095,312.065,296.49142857142857,295.0457142857143,234.552,229.27636363636367,218.7,270.3281818181818,325.887,347.5846153846154,345.24916666666667,L8
2021-09-08 22:07:29.873,373.8890909090909,356.4785714285714,376.1853846153846,361.01090909090914,362.885,294.84700000000004,181.84375,313.705,249.7233333333333,235.81800000000004,200.0675,194.095,312.065,296.49142857142857,295.0457142857143,234.552,227.1491666666667,215.77555555555557,263.6166666666667,322.23909090909086,347.4792857142857,342.6392307692308,L8
2021-09-24 22:07:32.728,369.73100000000005,352.9553846153846,375.115,359.1455555555556,360.158,295.12545454545455,179.0675,342.51499999999993,241.34285714285713,235.81800000000004,176.092,194.095,312.065,270.492,293.298,196.52749999999997,209.95454545454547,212.027,243.35545454545453,309.13,345.3223076923077,336.22333333333336,L8
2021-09-24 22:07:56.691,370.64727272727276,352.4264285714285,375.3038461538462,359.1455555555556,361.0790909090909,295.6475,179.0675,343.86285714285714,241.34285714285713,235.81800000000004,176.092,194.095,311.35,269.03833333333336,291.72166666666664,196.52749999999997,209.54416666666668,209.44636363636363,243.35545454545453,305.77,345.73071428571427,335.0938461538462,L8
2021-12-21 22:07:31.120,370.7966666666667,348.3177777777778,374.8025,360.95,360.262,297.3977777777778,173.278,354.0250000000001,263.655,216.90000000000006,175.3675,195.48000000000002,310.16249999999997,258.96500000000003,289.02,195.34249999999994,205.18375,201.16555555555553,208.86142857142858,288.36,341.96,325.58125,L9
2021-12-21 22:07:55.088,365.96571428571434,350.47200000000004,374.7255555555555,360.95,360.262,297.3977777777778,175.17999999999998,354.0250000000001,263.655,216.90000000000006,175.3675,195.48000000000002,310.13599999999997,245.13,289.02,195.34249999999994,205.5888888888889,200.04699999999997,207.61875,287.60125,341.96,321.75,L9
2021-12-29 22:07:29.143,367.2,352.20454545454544,375.13399999999996,360.95,362.58666666666664,297.3977777777778,176.51142857142855,344.49333333333334,263.655,215.30600000000004,175.348,193.678,309.5933333333333,245.13,289.02,195.34249999999994,206.086,199.06272727272727,206.28555555555556,288.2733333333333,342.87888888888887,324.69899999999996,L8
2021-12-29 22:07:53.106,368.18111111111114,353.79749999999996,375.52000000000004,364.296,364.3757142857143,297.335,177.71125,340.4175,263.655,214.51333333333335,175.76333333333332,192.75666666666666,309.38428571428574,249.12,289.02,195.34249999999994,206.53363636363636,198.37,206.28555555555556,288.2733333333333,343.85,327.2581818181818,L8
2022-01-14 22:07:27.312,369.223,354.8258333333333,375.9290909090909,365.5733333333333,361.54,296.998,178.1725,340.4175,265.26,214.38000000000002,175.26666666666665,190.94500000000002,307.83,254.214,287.835,192.0266666666666,206.41199999999998,193.13545454545456,200.27499999999998,285.47,344.386,326.40909090909093,L8
2022-01-14 22:07:51.275,369.79,356.0023076923077,376.1233333333333,367.13428571428574,362.80555555555554,296.998,178.96444444444444,332.91,265.83000000000004,214.66833333333332,175.45857142857145,190.92285714285714,308.0175,257.34,287.835,192.0266666666666,207.71454545454546,193.13545454545456,200.27499999999998,286.43,342.00454545454545,328.6958333333334,L8
2022-01-30 22:07:22.237,370.55100000000004,355.59,375.87916666666666,370.86600000000004,364.8425,297.315,179.18333333333334,332.91,265.83000000000004,217.97000000000003,175.524,190.68800000000002,308.0175,257.34,287.835,181.68,208.17222222222222,190.784,194.1885714285714,285.53,345.28666666666663,327.44818181818187,L8
2022-01-30 22:07:46.196,371.1418181818182,356.6707692307692,375.92461538461544,370.86600000000004,366.07,297.2144444444445,179.856,332.91,267.22200000000004,217.97000000000003,175.524,190.68800000000002,308.0175,260.39,288.38599999999997,181.68,208.17222222222222,190.784,194.1885714285714,286.893,346.021,329.6741666666667,L8
