dates,nzd0420-0000,nzd0420-0001,nzd0420-0002,nzd0420-0003,nzd0420-0004,nzd0420-0005,nzd0420-0006,nzd0420-0007,nzd0420-0008,nzd0420-0009,nzd0420-0010,nzd0420-0011,nzd0420-0012
2021-03-07 22:13:44+00:00,304.405,289.86333333333334,257.75,279.34,254.59499999999997,236.255,263.42,244.345,301.82,299.725,298.80499999999995,237.78666666666663,281.39
2021-03-16 22:07:27+00:00,303.5,288.7325,251.86,279.34,254.59499999999997,236.255,263.42,248.23666666666668,300.54,300.42333333333335,294.35999999999996,238.90249999999997,279.64
2021-04-17 22:07:18+00:00,303.5,288.7825,264.0833333333333,286.89,268.53999999999996,237.64999999999998,301.995,258.17,302.12,303.02,296.7725,239.0775,284.76
2021-05-03 22:07:08+00:00,279.6975,285.16,264.4375,285.24,269.39,233.23666666666668,297.62333333333333,263.25,301.88199999999995,303.805,297.764,235.45999999999998,259.048
2021-05-19 22:07:16+00:00,264.71,285.16,261.438,285.33666666666664,270.0675,229.1325,294.8825,264.878,301.88199999999995,304.174,298.48499999999996,232.49666666666667,241.745
2021-05-26 22:13:30+00:00,264.71,279.705,261.438,290.0925,270.0675,231.75,295.882,264.878,301.88199999999995,304.174,298.48499999999996,232.49666666666667,241.745
2021-07-13 22:13:43+00:00,264.71,279.705,261.438,290.0925,270.0675,232.23499999999999,295.62,268.31,301.88199999999995,304.174,298.48499999999996,232.42714285714285,232.72857142857143
2021-07-22 22:07:36+00:00,264.71,279.705,261.438,288.81,270.92199999999997,230.92714285714285,295.62,268.3985714285714,301.88199999999995,304.174,298.48499999999996,231.02499999999998,223.43
2021-08-14 22:13:57+00:00,255.28,279.705,260.01,286.57666666666665,271.3666666666666,230.70749999999998,293.0028571428571,259.8625,301.88199999999995,304.174,297.1242857142857,230.0,216.61444444444444
2021-09-24 22:07:56+00:00,207.06000000000003,272.23749999999995,255.43800000000002,284.07714285714286,264.34833333333336,229.18125,290.4733333333333,259.20285714285717,298.5433333333333,302.6325,299.1975,223.19428571428574,195.05571428571426
2021-10-17 22:14:14+00:00,215.1225,268.22999999999996,252.01999999999998,282.52714285714285,261.40500000000003,229.115,278.09166666666664,255.71142857142857,298.26,300.9,295.45,225.72571428571428,192.64857142857142
